id,mvt_id,name,brand,categories,names,city_fips,city_name,geometry_wkt,institutional
4709b205-d515-4ed8-9b49-2e9856f013dd,24676111,Bargin Beachwear,NA,"{""primary"":""clothing_store"",""alternate"":[""womens_clothing_store"",""shopping""]}","{""primary"":""Bargin Beachwear"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.3725 43.51811),FALSE
4bd4dfce-8f83-49e0-9064-102e77702be8,24676110,Undertow Treasures,NA,"{""primary"":""flowers_and_gifts_shop"",""alternate"":[""shopping"",""art_gallery""]}","{""primary"":""Undertow Treasures"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37243 43.5177),FALSE
351fd1fc-5f28-4b86-8ce9-ffe340a57e94,24676113,Atlantic Ocean Suites,NA,"{""primary"":""hotel"",""alternate"":[""holiday_rental_home"",""landmark_and_historical_building""]}","{""primary"":""Atlantic Ocean Suites"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.372 43.51774),FALSE
e944f564-9501-4ecf-887b-0fa511f489fa,24676114,Skylark Beach Inn,NA,"{""primary"":""hotel"",""alternate"":[""motel"",""beach""]}","{""primary"":""Skylark Beach Inn"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37162 43.5177),FALSE
4966d539-e7f6-4d01-991d-f0076ee683e2,24676108,Rossetti's Pizza,NA,"{""primary"":""pizza_restaurant"",""alternate"":[""fast_food_restaurant""]}","{""primary"":""Rossetti's Pizza"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37263 43.51754),FALSE
95be6204-0220-4a97-902b-46a2eb252a40,24676106,Paloma's,NA,"{""primary"":""latin_american_restaurant"",""alternate"":[""restaurant"",""american_restaurant""]}","{""primary"":""Paloma's"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37264 43.51749),FALSE
af40f30c-6c12-4f30-86b2-df7a86beb144,24676109,Sir King Kitchen,NA,"{""primary"":""caribbean_restaurant"",""alternate"":[""restaurant""]}","{""primary"":""Sir King Kitchen"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37247 43.51755),FALSE
70ceacfe-207d-40b3-a460-d49e531441d0,24676105,Copley LaReine Motel,NA,"{""primary"":""hotel"",""alternate"":[""motel"",""accommodation""]}","{""primary"":""Copley LaReine Motel"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37225 43.51715),FALSE
b9d5b5e0-8dbe-4faf-b2fa-c73d69d772bc,24676107,Aquarius Motel,NA,"{""primary"":""hotel"",""alternate"":[""accommodation"",""motel""]}","{""primary"":""Aquarius Motel"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37192 43.51751),FALSE
d2dc9065-76b7-4c81-a805-c09dbaaa75a7,24676115,Linwood Arms Condo Association,NA,"{""primary"":""real_estate"",""alternate"":[""landmark_and_historical_building""]}","{""primary"":""Linwood Arms Condo Association"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37137 43.51818),FALSE
2d01956a-d221-4785-b62d-2d984814a779,24676134,Beachfront Condominium Association,NA,"{""primary"":""hotel"",""alternate"":[""motel"",""holiday_rental_home""]}","{""primary"":""Beachfront Condominium Association"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36949 43.52047),FALSE
58ce2be8-d2eb-4b88-b725-42f9bd7b1081,24676133,Sandpiper Beachfront Motel,NA,"{""primary"":""hotel"",""alternate"":[""travel"",""accommodation""]}","{""primary"":""Sandpiper Beachfront Motel"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36999 43.51967),FALSE
e6d8acd4-14b2-4e67-9f62-208948146e6b,24676150,Professional Guitars,NA,"{""primary"":""musical_instrument_store"",""alternate"":null}","{""primary"":""Professional Guitars"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37583 43.5268),FALSE
47930060-0e2d-4b90-98c9-5031ba993ca1,24676149,Two Adventurous Souls,NA,"{""primary"":""professional_services"",""alternate"":[""event_photography""]}","{""primary"":""Two Adventurous Souls"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.37631 43.52569),FALSE
